customer_id,first_name,last_name,email,age,signup_date,annual_income,customer_segment,is_active
fb4eec70,John,Johnson,john.johnson@example.com,29,2024-08-12,33816,Standard,False
11feabea,John,Rodriguez,john.rodriguez@example.com,29,2023-10-03,43223,Basic,False
983320c1,Diana,Martinez,diana.martinez@sample.org,44,2025-04-23,145299,Premium,False
ae9dc11a,Bob,Martinez,bob.martinez@test.com,68,2023-11-05,75693,Premium,False
233d09ff,Frank,Williams,frank.williams@sample.org,76,2024-03-15,121790,Standard,True
f511509d,John,Martinez,john.martinez@example.com,69,2025-03-07,134943,Standard,True
b6e99e67,Bob,Rodriguez,bob.rodriguez@sample.org,29,2025-09-04,125618,Premium,True
b9453d62,Frank,Martinez,frank.martinez@example.com,39,2024-11-07,93093,Standard,True
1427f986,John,Jones,john.jones@test.com,49,2025-06-29,84311,Basic,True
df5ff0cd,Jane,Jones,jane.jones@demo.com,58,2025-03-11,62699,Basic,False
dd515862,Bob,Rodriguez,bob.rodriguez@demo.com,60,2025-09-08,106870,Standard,False
c658e784,Henry,Smith,henry.smith@demo.com,73,2024-04-24,55157,Premium,True
6a158bc8,Diana,Johnson,diana.johnson@example.com,35,2024-10-14,108260,Basic,False
2b9f95fd,Jane,Martinez,jane.martinez@example.com,26,2025-04-29,98768,Basic,False
23d0cb53,Jane,Rodriguez,jane.rodriguez@demo.com,18,2023-11-29,149308,Premium,True
b3af9da9,Bob,Williams,bob.williams@test.com,35,2024-03-12,107167,Premium,False
95b10dcd,Frank,Garcia,frank.garcia@company.net,36,2025-06-14,121106,Basic,True
eae4c87f,Charlie,Jones,charlie.jones@test.com,37,2024-07-29,107586,Standard,True
704cc93b,Henry,Garcia,henry.garcia@sample.org,40,2024-04-25,124339,Standard,False
20f76e5e,Alice,Davis,alice.davis@example.com,44,2025-03-06,38584,Premium,False
a85c46f2,Diana,Williams,diana.williams@sample.org,76,2024-04-08,103895,Premium,False
18ca2b6f,Henry,Johnson,henry.johnson@example.com,50,2024-09-06,31266,Premium,False
cf4a3b08,Jane,Jones,jane.jones@test.com,79,2024-07-28,98482,Standard,False
7f3fa0db,Jane,Jones,jane.jones@sample.org,69,2024-05-27,78040,Standard,True
bf56c10d,Grace,Williams,grace.williams@test.com,55,2024-05-13,124044,Basic,True
d8ab1db9,Charlie,Rodriguez,charlie.rodriguez@test.com,46,2025-05-06,99324,Basic,True
745fc4ea,Grace,Brown,grace.brown@company.net,36,2025-01-25,74267,Standard,False
20499313,John,Johnson,john.johnson@company.net,46,2024-11-26,78766,Basic,False
6300bf21,John,Martinez,john.martinez@example.com,41,2024-01-14,34990,Premium,True
26d47cea,John,Smith,john.smith@company.net,28,2024-04-03,124926,Standard,False
2852b299,Bob,Smith,bob.smith@company.net,67,2025-07-19,65822,Premium,True
c156d90b,Frank,Miller,frank.miller@example.com,74,2024-02-25,70319,Premium,False
d3ef0034,Alice,Garcia,alice.garcia@example.com,26,2024-01-09,65667,Standard,False
0769e06b,Bob,Jones,bob.jones@sample.org,66,2023-11-19,147736,Standard,True
ed175290,Grace,Rodriguez,grace.rodriguez@example.com,34,2024-04-17,149839,Premium,True
917f1312,Bob,Martinez,bob.martinez@sample.org,78,2024-11-13,57568,Premium,True
1ce2eb2c,Alice,Williams,alice.williams@sample.org,57,2024-11-24,105937,Premium,True
e3e9b8f4,Grace,Garcia,grace.garcia@test.com,24,2025-09-05,39789,Basic,True
600d7cc3,Diana,Davis,diana.davis@company.net,80,2024-05-16,88790,Standard,True
ae89c2e9,Charlie,Johnson,charlie.johnson@sample.org,55,2023-09-27,133751,Premium,False
58bc9020,Eve,Garcia,eve.garcia@company.net,42,2024-08-24,64279,Basic,False
d808738d,Grace,Miller,grace.miller@example.com,67,2025-03-19,60012,Premium,True
bd2e8dc9,Grace,Miller,grace.miller@test.com,49,2025-08-18,148635,Standard,False
3647d95d,Diana,Williams,diana.williams@sample.org,51,2025-05-01,72092,Standard,False
6f0ea28c,Henry,Smith,henry.smith@company.net,61,2024-10-06,41144,Basic,True
5e725b08,John,Williams,john.williams@example.com,25,2024-01-05,126417,Premium,False
02080211,Henry,Rodriguez,henry.rodriguez@example.com,25,2025-05-29,147419,Standard,True
adcfc037,Frank,Rodriguez,frank.rodriguez@company.net,79,2024-07-13,34554,Basic,False
6b4e5d1a,Frank,Brown,frank.brown@company.net,28,2024-07-28,145222,Basic,False
67637b29,Frank,Davis,frank.davis@company.net,78,2025-01-29,93632,Premium,True
